ygr,drate,rr,rmgr
0.877869502,0.28,-0.63983084,1.85773905
3.109565447,-0.15,-1.293165498,-1.067398738
0.853244771,0.72,-2.882312503,-1.289830415
1.233373214,0.98,-1.663560535,-2.13411381
0.003143023,1.36,1.67448774,-2.071610013
-0.094333697,0.11,-3.202927948,-6.697614408
0.898833192,-0.22,-4.13171866,-1.488587148
-0.190366278,2.46,-0.176715923,-5.540786198
0.997723788,0.3,-2.623038294,-10.03965481
-2.391200561,1.2,-1.896131193,-22.09644046
0.066496733,-5.14,0.235789658,5.342716429
1.261360164,3.56,1.105655092,7.629807129
1.916378323,3.4,3.856484753,-9.898461279
-0.334802887,-1.33,5.067998575,1.925110094
0.442071083,1.26,4.318144878,-7.990958946
-1.406649142,-1.41,5.747545771,-4.142879256
-1.521298942,-1.26,7.591613881,8.054756403
0.299198686,0.42,10.16567262,-2.53432738
-0.801974493,-1.35,1.370272381,-6.297204697
0.152047924,-3.64,4.845537631,13.51439936
0.86040336,0.15,8.676326814,10.31433507
2.22510693,0.35,4.954641239,8.389935669
1.465439724,0.87,4.646705249,9.249407409
1.759769612,-0.44,4.651931072,3.570352128
2.540918297,0.26,4.166216941,0.252377967
1.332451329,0.79,5.011584095,1.674525349
0.644005303,0.43,7.031181562,2.647381922
0.41384452,-0.38,5.531448503,-2.142888477
0.943150898,-1.98,5.861562644,7.051458517
0.51426928,0.19,2.681814724,4.610614766
0.99583353,-0.87,4.47170012,10.58008727
0.767130063,0.08,4.199764473,9.280498925
1.303473018,-0.09,2.67032228,5.040096357
0.159384109,-1.01,9.723029262,16.01653305
0.358360549,-0.23,3.262361656,15.48420534
0.362440829,-0.65,2.628738504,11.56750665
1.084808805,0.25,0.734686494,15.78170865
0.610507347,0.21,0.644395372,2.212774172
1.064062875,0.05,2.159526949,-4.121751799
