ygr,drate,rr,rmgr
-1.397636924,-0.2,1.18,1.249025215
-0.398860928,-0.22,0.96,-0.624025088
1.191841577,-0.24,2.209759636,4.909912615
1.456200473,0.26,2.475328844,6.112540557
2.118082208,0.25,1.23,4.261836359
1.089578674,0.36,0.094671156,2.721577681
1.323902728,0.01,3.095328844,3.88517912
0.872963681,0.63,0.734671156,-0.008890865
-0.19773273,0.18,2.41,0.889218595
0.454202143,0.19,-0.373991395,-1.201462645
0.07221876,-0.29,-2.109934475,-4.714811008
1.103036344,0.59,-0.019720993,-2.919720993
0.820974907,0.21,1.65809278,1.194188427
-0.05795795,-0.05,-1.264366442,-4.910876811
0.584477723,0.1,-1.118115647,-3.984752964
-1.56192668,0.42,2.164069318,-2.590674551
-2.05041027,-1.14,-1.777965271,-5.986575374
0.536371845,-1.31,-3.043950917,-1.230596945
2.336768424,-0.22,0.91,3.212868679
2.340145683,1.72,2.63,5.489432488
1.233926276,0.19,1.438306053,2.820576378
1.886964787,0.13,2.95,2.297206601
-0.459207909,0.25,1.823062324,4.309014497
0.849404722,0.85,-0.052600067,-7.504463236
1.701398508,0.3,5.712863329,-0.063163137
-0.287563103,-1.12,0.508901071,-3.865591842
0.095946277,-0.93,2.3,1.715513709
-0.860802907,0,-1.747252066,-1.771285755
1.034471245,-0.06,2.24,0.283587392
1.236859438,0.05,2.29,3.106263404
1.420044987,-0.05,0.899965246,0.904010402
2.224106428,0.06,0.964439494,2.00707733
1.30210173,0.42,2.72,3.03973829
1.035176969,0.01,0.072182913,0.358995293
0.925342522,0.19,2.92,0.273130772
-0.165599508,-0.18,0.099726387,-1.821998523
1.344438172,0.17,2.91,4.066453185
1.375001363,-0.01,1.58636992,2.444786832
1.73222186,0.28,1.870669862,3.207489693
0.716056342,0.27,0.844127592,0.55203873
2.210321384,0.07,2.22340243,1.836577719
0.853330336,-0.05,3.47,2.592361634
1.002387778,-0.01,2.167591767,4.097471201
0.427254414,0.11,2.28175412,4.783976991
2.143683537,0.24,2.525889748,2.464745679
1.437891856,0.12,1.37408076,0.664909559
1.579599303,-0.09,2.568138833,1.188171187
2.274698374,0.19,1.498345979,4.518057471
1.959626532,0.56,3.330156439,6.141143458
0.259923993,0.03,-1.620376177,0.328686417
1.019469195,0.18,3.563522972,-4.742196225
0.490163994,0.55,-0.775693989,-4.252154264
0.563633789,-0.63,4.72,1.632179472
0.595954621,-0.88,1.415750155,3.12176621
1.430828522,0.37,1.800354159,6.441779163
0.562301244,0.35,-0.216176149,3.004007997
1.153883889,0.44,0.280181228,1.397176459
1.68722847,0.38,1.876327964,1.237762791
0.774382052,-0.07,-0.462105932,2.497470337
-0.096470448,0.04,0.791546108,2.72014569
1.396001419,0.79,2.754930433,5.983994186
0.136467982,-0.03,-1.678841365,-3.583546061
0.552237134,0.89,1.527958438,-3.683218705
-0.399448716,0,1.60180741,-2.828378957
-0.616711046,0.87,1.486885825,0.454659168
-0.087225608,-1.36,0.227148318,-5.895629967
1.210183491,-0.06,2.315596268,-1.434297048
-0.907297547,-0.54,0.801373728,4.012909128
2.649161545,-1.47,-0.604203037,0.552903212
-0.008069397,-0.58,1.859995833,5.706656238
0.511118931,1.54,-0.540703254,2.866662214
-0.004014371,-0.94,2.49921176,2.107343222
2.168214232,-1.08,0.456722677,2.495201863
1.925867292,0.33,0.807931648,6.02534083
1.035047192,0.27,1.098835082,2.515206979
1.858972187,0.76,-0.016298609,5.496433002
2.3200493,0.67,1.645266327,7.027142966
0.255707902,0.85,-2.083292048,-6.757247147
-0.098552743,1.75,2.542944509,2.214936443
0.890736834,-0.79,-5.253170975,-10.15073364
-0.558964832,0.55,-1.764579262,-1.889086568
0.283502534,0.56,-2.652738493,-6.464618168
-1.311554101,-0.78,-3.139228056,-7.259570512
-0.882787789,-0.09,-6.884166464,-9.914442345
-1.974549455,-1.2,-3.024749544,-6.796177931
1.012752665,-0.65,1.047212883,-1.654740866
1.682647184,0.52,-2.842338795,1.324976365
1.38271279,-0.17,0.088334935,-3.197952384
1.860736416,-1.09,-1.634208349,-1.348240776
0.444737716,-0.01,2.715222743,5.126903022
0.41449001,0.37,-1.136182122,-2.442592402
0.992022769,-0.31,-1.346446698,1.599162519
1.362835723,-0.3,-0.868936902,2.742612771
1.599705273,-0.08,-4.221934155,-0.063158343
1.988458148,0.65,-0.765444998,-0.176450006
-0.256842317,0.97,1.588521671,3.821301021
