FFR,GOVBOND,UNEMP,INFL,
5.258571429,4.83,4.59999999999999,2.07274692043066,
5.266842105,4.55999999999999,4.5,2.4071043131999,
5.260909091,4.65,4.4,2.77145329421705,
5.243333333,4.62999999999999,4.5,2.63642443266074,
5.249545455,4.9,4.4,2.67009126229585,
5.253809524,5.03,4.59999999999999,2.59216375296034,
5.262857143,4.78,4.59999999999999,2.31455390292078,
5.035217391,4.54,4.59999999999999,1.9306773442551,
4.966315789,4.58999999999999,4.7,2.72401827927822,
4.748636364,4.48,4.7,3.54063653570919,
4.4965,3.97,4.7,4.23574487701768,
4.219,4.04,5,4.02144244625696,
3.931428571,3.67,5,4.26102182692269,
2.9625,3.53,4.8,4.05129258193442,
2.602857143,3.45,5.1,3.93074441776693,
2.267727273,3.77,5,3.87940996362375,
1.993333333,4.06,5.4,3.99781287759883,
2.001428571,3.99,5.5,4.74880791549386,
2.019090909,3.99,5.8,5.36785889507214,
1.986190476,3.83,6.1,5.21069912041688,
1.864285714,3.85,6.2,4.84148564863983,
1.017272727,4.00999999999999,6.59999999999999,3.64393868728792,
0.387222222,2.93,6.9,1.03054518329003,
0.170909091,2.25,7.4,-0.0449413759151836,
0.157,2.87,7.7,-0.125417288189578,
0.223684211,3.02,8.2,0.0817707644604401,
0.182727273,2.71,8.6,-0.422351432405147,
0.153181818,3.16,8.9,-0.607147064609981,
0.1745,3.47,9.4,-1.04451417374877,
0.207727273,3.53,9.5,-1.26021439153489,
0.156956522,3.52,9.4,-1.99510623338034,
0.16047619,3.39999999999999,9.7,-1.47949607239162,
0.146190476,3.31,9.8,-1.35020003744067,
0.117619048,3.41,10.1,-0.219303902164117,
0.12,3.21,10,1.83167747591783,
0.118636364,3.85,10,2.74655999032225,
0.116842105,3.63,9.7,2.62059108079299,
0.125789474,3.61,9.7,2.19026197086237,
0.16173913,3.84,9.7,2.36364669917741,
0.197727273,3.69,9.9,2.21622541271319,
0.2025,3.31,9.7,1.94021992470582,
0.176363636,2.97,9.5,1.09900129744028,
0.181904762,2.94,9.5,1.30584156441484,
0.189545455,2.47,9.6,1.19157724140549,
0.193809524,2.53,9.6,1.13337447870219,
0.1905,2.63,9.6,1.158924458246,
