"time","OSEBX GR","volume"
"2000-01-03 01:00","192.73","0"
"2000-01-04 01:00","185.7","0"
"2000-01-05 01:00","180.6","0"
"2000-01-06 01:00","182.56","0"
"2000-01-07 01:00","186.4","0"
"2000-01-10 01:00","191.36","0"
"2000-01-11 01:00","190.28","0"
"2000-01-12 01:00","186.58","0"
"2000-01-13 01:00","189.9","0"
"2000-01-14 01:00","191.23","0"
"2000-01-17 01:00","191.2","0"
"2000-01-18 01:00","190.87","0"
"2000-01-19 01:00","190.61","0"
"2000-01-20 01:00","191.66","0"
"2000-01-21 01:00","191.8","0"
"2000-01-24 01:00","193.54","0"
"2000-01-25 01:00","188.88","0"
"2000-01-26 01:00","190.86","0"
"2000-01-27 01:00","190.78","0"
"2000-01-28 01:00","190.11","0"
"2000-01-31 01:00","184.48","0"
"2000-02-01 01:00","184.21","0"
"2000-02-02 01:00","186.59","0"
"2000-02-03 01:00","191.16","0"
"2000-02-04 01:00","191.6","0"
"2000-02-07 01:00","190.64","0"
"2000-02-08 01:00","192.19","0"
"2000-02-09 01:00","189.58","0"
"2000-02-10 01:00","190.76","0"
"2000-02-11 01:00","191.28","0"
"2000-02-14 01:00","190.55","0"
"2000-02-15 01:00","189.01","0"
"2000-02-16 01:00","188.26","0"
"2000-02-17 01:00","186.93","0"
"2000-02-18 01:00","186.98","0"
"2000-02-21 01:00","185.35","0"
"2000-02-22 01:00","186.88","0"
"2000-02-23 01:00","189.76","0"
"2000-02-24 01:00","190.45","0"
"2000-02-25 01:00","189.19","0"
"2000-02-28 01:00","187.69","0"
"2000-02-29 01:00","189.38","0"
"2000-03-01 01:00","193.71","0"
"2000-03-02 01:00","191.23","0"
"2000-03-03 01:00","192.76","0"
"2000-03-06 01:00","194.12","0"
"2000-03-07 01:00","199.36","0"
"2000-03-08 01:00","198.89","0"
"2000-03-09 01:00","198.24","0"
"2000-03-10 01:00","197.81","0"
"2000-03-13 01:00","192.08","0"
"2000-03-14 01:00","193.87","0"
"2000-03-15 01:00","189.27","0"
"2000-03-16 01:00","189.75","0"
"2000-03-17 01:00","188.08","0"
"2000-03-20 01:00","188.39","0"
"2000-03-21 01:00","186.97","0"
"2000-03-22 01:00","189.37","0"
"2000-03-23 01:00","189.74","0"
"2000-03-24 01:00","190.49","0"
"2000-03-27 02:00","188.75","0"
"2000-03-28 02:00","189.16","0"
"2000-03-29 02:00","187.61","0"
"2000-03-30 02:00","184.72","0"
"2000-03-31 02:00","188.32","0"
"2000-04-03 02:00","186.62","0"
"2000-04-04 02:00","184.87","0"
"2000-04-05 02:00","175.59","0"
"2000-04-06 02:00","181.5","0"
"2000-04-07 02:00","184.23","0"
"2000-04-10 02:00","184.49","0"
"2000-04-11 02:00","181.11","0"
"2000-04-12 02:00","181.59","0"
"2000-04-13 02:00","179.36","0"
"2000-04-14 02:00","174.7","0"
"2000-04-17 02:00","172.3","0"
"2000-04-18 02:00","174.61","0"
"2000-04-19 02:00","178.33","0"
"2000-04-25 02:00","178.62","0"
